cc-by-nd,electronic,funky ,0,http://soundcloud.com/south-east-finest/silversix-funky-todddles-re,35617700,1,1
cc-by-sa,electronic,Electro Trance,0,http://soundcloud.com/naturah/in_the_night,86528909,1,1
cc-by-nc-nd,electronic,Trip-hop,1.2,http://soundcloud.com/mr-chimp/you-can-try-and-make-it-but,102481620,1,1
cc-by-nd,electronic,Disco House,48.4,http://soundcloud.com/federfunk-second-channel/federfunk-say-you-love-disco,34609150,20,17
cc-by-sa,electronic,NEW,51.4,http://soundcloud.com/j-l-x-l/dj-alex-d-feat-fatin-shidqia,86562376,14,14
cc-by-nc-nd,electronic,EDM,92.4,http://soundcloud.com/aircraftlive/aircraft-november-showcase,119793558,6,6
cc-by,electronic,Pop,302.8,http://soundcloud.com/svenbot/early-summer-2013-pop-mix,98562424,1,1
cc-by-nc-sa,electronic,Big Room Trap,463.2,http://soundcloud.com/combustibledjs/sandro-silva-puna-combustibles,122875265,44,44
cc-by-nc-nd,folk,Rap/Hip Hop,0,http://soundcloud.com/untitledco/janglin-rap-remix,101641503,1,1
cc-by-nc-sa,folk,classical,0,http://soundcloud.com/vijayv2p/orchestral-changes,118829386,1,1
cc-by-nd,folk,Power Beat,0,http://soundcloud.com/mentesingeneradas/el-affaire-de-los-power,36034045,1,1
cc-by-sa,folk,WORLD ROCK,0,http://soundcloud.com/mcanyon/goodbye-december-goodbye-by,85744802,1,0
cc-by,folk,Protest,0.4,http://soundcloud.com/db94/hunting,101081775,4,4
cc-by-nd,folk,Trance,87,http://soundcloud.com/tylerleitch/snsd-visual-dreams-tyler,24607520,4,3
cc-by-nc-sa,folk,Disco Funk,128.2,http://soundcloud.com/evil-smarty/this-partys-just-for-you-smart,121094862,40,39
cc-by-sa,folk,Mashup,182,http://soundcloud.com/voxbox/dm-ultramash-megamix-by-voxbox,85670033,58,57
cc-by-nc-nd,folk,Swing,203.6,http://soundcloud.com/stegga/the-jive-before-time-vol-1,124074626,24,24
cc-by,folk,None,483.2,http://soundcloud.com/lovenepal/pida-diyepani-www-lovenepal,109225504,2,2
cc-by-nc-sa,hardcore techno,Rock/Bass,0,http://soundcloud.com/paulchanegeling/hard-life,121065391,1,1
cc-by,hardcore techno,Funk,0.8,http://soundcloud.com/adiffuser/emission-du-3-octobre-2013,113760884,3,3
cc-by-sa,hardcore techno,Progressive Metal,1,http://soundcloud.com/dbautistadecabo/s1m2-2013,113309511,1,1
cc-by-nd,hardcore techno,Deep House,1.2,http://soundcloud.com/viclupo/sessions002_deephouse,85176813,1,1
cc-by-sa,hardcore techno,Mashup,33.4,http://soundcloud.com/zenweasel/internet-friends-scary,87106766,3,3
cc-by-nd,hardcore techno,Hip-hop/rap,197.8,http://soundcloud.com/berna-o-segundo/50-cent-your-lifes-on-the,85382629,10,10
cc-by,hardcore techno,EDM,239,http://soundcloud.com/beatzfreq/queen-rhcp-cant-stop-rockin,113244410,10,9
cc-by-nc-sa,hardcore techno,Bass boost,1022.4,http://soundcloud.com/bass-boosted/white-clouds-i-try-to-boost-it,123238996,183,182
cc-by,hip hop,romantico,0,http://soundcloud.com/elizabeth_tlv/me-equicoque-chili-elizabeth,96881870,2,2
cc-by-nc-sa,hip hop,Instrumental,0,http://soundcloud.com/short_hopper/gimbre-n-lyre,104791296,1,1
cc-by-sa,hip hop,None,0.4,http://soundcloud.com/enndee-1/spider-be-the-master-at-the,87830249,1,0
cc-by-nc-nd,hip hop,Pornography,0.6,http://soundcloud.com/framlingar/redux-video,99211733,1,1
cc-by-sa,hip hop,Hip-Hop,38.4,http://soundcloud.com/jacklycke/big-sean-control-cdq-dirty,105354389,1,1
cc-by-nc-nd,hip hop,Breakcore,52.2,http://soundcloud.com/blaerg/blaerg-live-perish-6-20-13,99150190,15,15
cc-by-nc-sa,hip hop,Zimma Frame,242.2,http://soundcloud.com/music_is_one/show-n-prove-zimma-frame-feat,104807032,2,1
cc-by,hip hop,Melodic Techno,541,http://soundcloud.com/tyron-taylor/tr-ume-der-erinnerungen,96907626,144,143
cc-by-nd,house,SketchStep,0,http://soundcloud.com/insane-sketch/random-sounds,39460944,5,5
cc-by-nc-nd,house,Pop,0.4,http://soundcloud.com/htinfo/vinamilk-sua-bo-sung-vi-chat-adm-tvc-2012-ringtone-htinfo,101827106,1,1
cc-by-nc-sa,house,jamsession,0.8,http://soundcloud.com/deifius/pandosong,123491847,6,6
cc-by,house,chief keef ,1,http://soundcloud.com/dquan/first-day-out,101781135,1,1
cc-by-sa,house,Expermimental,1,http://soundcloud.com/eblade/preconception-of-rhythms,106720994,4,4
cc-by-sa,house,Electro House,76,http://soundcloud.com/sarzaofc/sarza-the-south-up-vip-edit-2,90865259,31,27
cc-by,house,Mid Tempo Growler,125,http://soundcloud.com/breakzlinkz/pecoe-growler-part-2,101812973,11,11
cc-by-nc-sa,house,Dance,207,http://soundcloud.com/dj-chord/for-the-kids-volume-15,123572837,2,2
cc-by-nc-nd,house,Rap/HipHop,351,http://soundcloud.com/rapfarsinews/pishro-divoone,121692731,100,98
cc-by-nd,house,"Deep House, Techno, Electro",363.8,http://soundcloud.com/cremeorganization/creme-upcoming-mix-dj-tlr,23403175,63,62
cc-by,indie rock,None,0,http://soundcloud.com/musicatbeaumontschool/9n-hannah-sam-illias-charlotte,112642655,1,1
cc-by-nc-nd,indie rock,Bossa Nova,0,http://soundcloud.com/franck-calestroupat/bossa-nova-1-final-2,113924432,4,4
cc-by-nc-sa,indie rock,None,0,http://soundcloud.com/prisoncityarchive/the-familiars-2013-08-25-bird-alley-s,107329297,1,1
cc-by-nd,indie rock,None,0,http://soundcloud.com/voice-of-the-future/godine-prolaze,33478760,1,1
cc-by-sa,indie rock,manchester,1.8,http://soundcloud.com/krys-kowalczuk/manchester-rain,106404613,1,1
cc-by-sa,indie rock,mix dj sax nortenas,32.8,http://soundcloud.com/jaramillomanuel89/los-dominantes-del-norte-mix,106253344,3,3
cc-by-nd,indie rock,None,138.2,http://soundcloud.com/goombabrothers/let-my-love-open-the-door-qh,20015944,27,27
cc-by-nc-nd,indie rock,Tomorrowland,147,http://soundcloud.com/dj-insinity/tomorrowland-after-mix-2013,110764209,38,38
